麻婆豆腐 皮蛋豆腐
翡翠 珍珠
空调 风扇
卖萌 发嗲
打印 复印
德玛西亚 诺克萨斯
盖伦 赵信
夜玫瑰 灵狐者
空间 微博
移动电源 备用电池
英语 拼音
手机游戏 手机应用
诱惑 吸引
羡慕 嫉妒
火 光
闺蜜 好友
天使 神仙
天龙八部 笑傲江湖
徐良 许嵩
貌美如花 美若天仙
步步惊心 宫锁心玉
路人甲 打酱油
腿毛 睫毛
妖魔 鬼怪
手指 脚趾
天空 大海
葫芦兄弟 四小天鹅
凳子 桌子
纯牛奶 酸牛奶
稻田 麦田
外星人 原始人
树叶 树枝
蛋糕 松糕
金鱼 鲸鱼
照片 图片
毛衣 毛线
古筝 古琴
雪糕 雪条
官二代 富二代
科教片 科幻片
普罗米修斯 阿基米德
法官 法医
老子 孔子
喜马拉雅山 阿尔卑斯山
礼物 礼品
